"fmcg_category","platform_name","date_miladi","date","avg_price"
"nuts","Digikala","2025-09-16","1404/06/25","389000.000000000000"
"nuts","Digikala","2025-09-17","1404/06/26","389000.000000000000"
"nuts","Digikala","2025-09-18","1404/06/27","389000.000000000000"
"nuts","Digikala","2025-09-20","1404/06/29","389000.000000000000"
"nuts","Digikala","2025-09-21","1404/06/30","272300.000000000000"
"nuts","Digikala","2025-09-22","1404/06/31","389000.000000000000"
"proteins","Digikala","2025-08-13","1404/05/22","165000.000000000000"
"proteins","Digikala","2025-08-16","1404/05/25","109000.000000000000"
"proteins","Digikala","2025-08-17","1404/05/26","109000.000000000000"
"proteins","Digikala","2025-08-18","1404/05/27","109000.000000000000"
"proteins","Digikala","2025-08-19","1404/05/28","165000.000000000000"
"proteins","Digikala","2025-08-20","1404/05/29","136400.000000000000"
"proteins","Digikala","2025-08-21","1404/05/30","220500.000000000000"
"proteins","Digikala","2025-08-25","1404/06/03","103950.000000000000"
"proteins","Digikala","2025-08-26","1404/06/04","220500.000000000000"
"proteins","Digikala","2025-08-27","1404/06/05","165000.000000000000"
"proteins","Digikala","2025-08-28","1404/06/06","146000.000000000000"
"proteins","Digikala","2025-08-30","1404/06/08","146000.000000000000"
"proteins","Digikala","2025-08-31","1404/06/09","146000.000000000000"
"proteins","Digikala","2025-09-02","1404/06/11","146000.000000000000"
"proteins","Digikala","2025-09-03","1404/06/12","146000.000000000000"
"proteins","Digikala","2025-09-04","1404/06/13","146000.000000000000"
"proteins","Digikala","2025-09-05","1404/06/14","98000.000000000000"
"proteins","Digikala","2025-09-08","1404/06/17","140000.000000000000"
"proteins","Digikala","2025-09-09","1404/06/18","215000.000000000000"
"proteins","Digikala","2025-09-11","1404/06/20","215000.000000000000"
"proteins","Digikala","2025-09-13","1404/06/22","169000.000000000000"
"proteins","Digikala","2025-09-14","1404/06/23","169000.000000000000"
"proteins","Digikala","2025-09-15","1404/06/24","169000.000000000000"
"proteins","Digikala","2025-09-16","1404/06/25","169000.000000000000"
"proteins","Digikala","2025-09-17","1404/06/26","169000.000000000000"
"proteins","Digikala","2025-09-18","1404/06/27","169000.000000000000"
"proteins","Digikala","2025-09-20","1404/06/29","169000.000000000000"
"proteins","Digikala","2025-09-21","1404/06/30","169000.000000000000"
"proteins","Digikala","2025-09-22","1404/06/31","169000.000000000000"
